 ------------- + ------------- + ------------- + ------- --- + -------------------- + ------------ + ------------ + ---------- + ---------------- + ------------ + -------- ------- +
| EMPLOYEE_ID | FIRST_NAME | LAST_NAME | Электронная почта | PHONE_NUMBER | HIRE_DATE | JOB_ID | Заработная плата | COMMISSION_PCT | MANAGER_ID | DEPARTMENT_ID |
| 117 | Сигал | Тобиас | СТОБИАС | 515.127.4564 | 2005-07-24 | PU_CLERK | 2800,00 | 0,00 | 114 | 30 |
| 118 | Парень | Химуро | ГИМУРО | 515.127.4565 | 2006-11-15 | PU_CLERK | 2600,00 | 0,00 | 114 | 30 |
| 119 | Карен | Кольменарес | KCOLMENA | 515.127.4566 | 2007-08-10 | PU_CLERK | 2500,00 | 0,00 | 114 | 30 |
| 120 | Мэтью | Вайс | MWEISS | 650.123.1234 | 2004-07-18 | ST_MAN | 8000,00 | 0,00 | 100 | 50 |
| 121 | Адам | Фрипп | AFRIPP | 650.123.2234 | 2005-04-10 | ST_MAN | 8200,00 | 0,00 | 100 | 50 |
| 122 | Payam | Кауфлинг | ПКАУФЛИН | 650.123.3234 | 2003-05-01 | ST_MAN | 7900,00 | 0,00 | 100 | 50 |
| 123 | Шанта | Фольман | SVOLLMAN | 650.123.4234 | 2005-10-10 | ST_MAN | 6500,00 | 0,00 | 100 | 50 |
| 124 | Кевин | Моргос | КМОУРГОС | 650.123.5234 | 2007-11-16 | ST_MAN | 5800,00 | 0,00 | 100 | 50 |
| 125 | Юлия | Найер | JNAYER | 650.124.1214 | 2005-07-16 | ST_CLERK | 3200,00 | 0,00 | 120 | 50 |
| 126 | Ирэн | Миккилинени | ИМИККИЛИ | 650.124.1224 | 2006-09-28 | ST_CLERK | 2700,00 | 0,00 | 120 | 50 |
| 127 | Джеймс | Ландри | JLANDRY | 650.124.1334 | 2007-01-14 | ST_CLERK | 2400,00 | 0,00 | 120 | 50 |
| 128 | Стивен | Маркл | СМАРКЛ | 650.124.1434 | 2008-03-08 | ST_CLERK | 2200,00 | 0,00 | 120 | 50 |
| 129 | Лаура | Биссо | ЛБИССОТ | 650.124.5234 | 2005-08-20 | ST_CLERK | 3300,00 | 0,00 | 121 | 50 |
| 130 | Може | Аткинсон | МАТКИНСО | 650.124.6234 | 2005-10-30 | ST_CLERK | 2800,00 | 0,00 | 121 | 50 |
| 131 | Джеймс | Марлоу | JAMRLOW | 650.124.7234 | 2005-02-16 | ST_CLERK | 2500,00 | 0,00 | 121 | 50 |
| 132 | TJ | Олсон | ТИОЛСОН | 650.124.8234 | 2007-04-10 | ST_CLERK | 2100,00 | 0,00 | 121 | 50 |
| 133 | Джейсон | Маллин | JMALLIN | 650.127.1934 | 2004-06-14 | ST_CLERK | 3300,00 | 0,00 | 122 | 50 |
| 134 | Майкл | Роджерс | MROGERS | 650.127.1834 | 2006-08-26 | ST_CLERK | 2900,00 | 0,00 | 122 | 50 |
| 135 | Ки | Джи | KGEE | 650.127.1734 | 2007-12-12 | ST_CLERK | 2400,00 | 0,00 | 122 | 50 |
| 136 | Хейзел | Philtanker | HPHILTAN | 650.127.1634 | 2008-02-06 | ST_CLERK | 2200,00 | 0,00 | 122 | 50 |
| 137 | Ренске | Ладвиг | RLADWIG | 650.121.1234 | 2003-07-14 | ST_CLERK | 3600,00 | 0,00 | 123 | 50 |
| 138 | Стивен | Стайлз | СТИЛЬ | 650.121.2034 | 2005-10-26 | ST_CLERK | 3200,00 | 0,00 | 123 | 50 |
| 139 | Джон | SEO | JSEO | 650.121.2019 | 2006-02-12 | ST_CLERK | 2700,00 | 0,00 | 123 | 50 |
| 140 | Джошуа | Патель | JPATEL | 650.121.1834 | 2006-04-06 | ST_CLERK | 2500,00 | 0,00 | 123 | 50 |
| 141 | Тренна | Раджс | TRAJS | 650.121.8009 | 2003-10-17 | ST_CLERK | 3500,00 | 0,00 | 124 | 50 |
| 142 | Кертис | Дэвис | CDAVIES | 650.121.2994 | 2005-01-29 | ST_CLERK | 3100,00 | 0,00 | 124 | 50 |
| 143 | Рэндалл | Матос | RMATOS | 650.121.2874 | 2006-03-15 | ST_CLERK | 2600,00 | 0,00 | 124 | 50 |
| 144 | Питер | Варгас | ПВАРГАС | 650.121.2004 | 2006-07-09 | ST_CLERK | 2500,00 | 0,00 | 124 | 50 |
| 145 | Джон | Рассел | JRUSSEL | 011.44.1344.429268 | 2004-10-01 | SA_MAN | 14000,00 | 0,40 | 100 | 80 |
| 146 | Карен | Партнеры | КПАРТНЕР | 011.44.1344.467268 | 2005-01-05 | SA_MAN | 13500,00 | 0,30 | 100 | 80 |
| 147 | Альберто | Эрразуриз | АЭРРАЗУР | 011.44.1344.429278 | 2005-03-10 | SA_MAN | 12000,00 | 0,30 | 100 | 80 |
| 148 | Джеральд | Камбро | GCAMBRAU | 011.44.1344.619268 | 2007-10-15 | SA_MAN | 11000,00 | 0,30 | 100 | 80 |
| 149 | Элени | Злотый | EZLOTKEY | 011.44.1344.429018 | 2008-01-29 | SA_MAN | 10500,00 | 0,20 | 100 | 80 |
| 150 | Питер | Такер | PTUCKER | 011.44.1344.129268 | 2005-01-30 | SA_REP | 10000,00 | 0,30 | 145 | 80 |
| 151 | Дэвид | Бернштейн | DBERNSTE | 011.44.1344.345268 | 2005-03-24 | SA_REP | 9500,00 | 0,25 | 145 | 80 |
| 152 | Питер | Зал | ФАЛЛ | 011.44.1344.478968 | 2005-08-20 | SA_REP | 9000,00 | 0,25 | 145 | 80 |
| 153 | Кристофер | Олсен | COLSEN | 011.44.1344.498718 | 2006-03-30 | SA_REP | 8000,00 | 0,20 | 145 | 80 |
| 154 | Нанетт | Камбро | NCAMBRAU | 011.44.1344.987668 | 2006-12-09 | SA_REP | 7500,00 | 0,20 | 145 | 80 |
| 155 | Оливер | Туво | OTUVAULT | 011.44.1344.486508 | 2007-11-23 | SA_REP | 7000,00 | 0,15 | 145 | 80 |
| 156 | Джанетт | Король | JKING | 011.44.1345.429268 | 2004-01-30 | SA_REP | 10000,00 | 0,35 | 146 | 80 |
| 157 | Патрик | Салли | PSULLY | 011.44.1345.929268 | 2004-03-04 | SA_REP | 9500,00 | 0,35 | 146 | 80 |
| 158 | Аллан | McEwen | AMCEWEN | 011.44.1345.829268 | 2004-08-01 | SA_REP | 9000,00 | 0,35 | 146 | 80 |
| 159 | Линдси | Смит | ЛСМИТ | 011.44.1345.729268 | 2005-03-10 | SA_REP | 8000,00 | 0,30 | 146 | 80 |
| 160 | Луиза | Доран | LDORAN | 011.44.1345.629268 | 2005-12-15 | SA_REP | 7500,00 | 0,30 | 146 | 80 |
| 161 | Сарат | Сьюэлл | SSEWALL | 011.44.1345.529268 | 2006-11-03 | SA_REP | 7000,00 | 0,25 | 146 | 80 |
| 162 | Клара | Вишней | CVISHNEY | 011.44.1346.129268 | 2005-11-11 | SA_REP | 10500,00 | 0,25 | 147 | 80 |
| 163 | Даниэль | Грин | DGREENE | 011.44.1346.229268 | 2007-03-19 | SA_REP | 9500,00 | 0,15 | 147 | 80 |
| 164 | Маттеа | Марвинс | MMARVINS | 011.44.1346.329268 | 2008-01-24 | SA_REP | 7200,00 | 0.10 | 147 | 80 |
| 165 | Дэвид | Ли | DLEE | 011.44.1346.529268 | 2008-02-23 | SA_REP | 6800,00 | 0.10 | 147 | 80 |
| 166 | Сундар | Анд | SANDE | 011.44.1346.629268 | 2008-03-24 | SA_REP | 6400,00 | 0.10 | 147 | 80 |
| 167 | Амит | Банда | АБАНДА | 011.44.1346.729268 | 2008-04-21 | SA_REP | 6200,00 | 0.10 | 147 | 80 |
| 168 | Лиза | Озер | ЛОЗЕР | 011.44.1343.929268 | 2005-03-11 | SA_REP | 11500,00 | 0,25 | 148 | 80 |
| 169 | Харрисон | Блум | HBLOOM | 011.44.1343.829268 | 2006-03-23 | SA_REP | 10000,00 | 0,20 | 148 | 80 |
| 170 | Тайлер | Лиса | TFOX | 011.44.1343.729268 | 2006-01-24 | SA_REP | 9600,00 | 0,20 | 148 | 80 |
| 171 | Уильям | Смит | WSMITH | 011.44.1343.629268 | 2007-02-23 | SA_REP | 7400,00 | 0,15 | 148 | 80 |
| 172 | Элизабет | Бейтс | EBATES | 011.44.1343.529268 | 2007-03-24 | SA_REP | 7300,00 | 0,15 | 148 | 80 |
| 173 | Сундита | Кумар | СКУМАР | 011.44.1343.329268 | 2008-04-21 | SA_REP | 6100,00 | 0.10 | 148 | 80 |
| 174 | Эллен | Абель | EABEL | 011.44.1644.429267 | 2004-05-11 | SA_REP | 11000,00 | 0,30 | 149 | 80 |
| 175 | Алисса | Хаттон | АХУТТОН | 011.44.1644.429266 | 2005-03-19 | SA_REP | 8800,00 | 0,25 | 149 | 80 |
| 176 | Джонатон | Тейлор | JTAYLOR | 011.44.1644.429265 | 2006-03-24 | SA_REP | 8600,00 | 0,20 | 149 | 80 |
| 177 | Джек | Ливингстон | JLIVINGS | 011.44.1644.429264 | 2006-04-23 | SA_REP | 8400,00 | 0,20 | 149 | 80 |
| 178 | Кимберели | Грант | КГРАНТ | 011.44.1644.429263 | 2007-05-24 | SA_REP | 7000,00 | 0,15 | 149 | 0 |
| 179 | Чарльз | Джонсон | CJOHNSON | 011.44.1644.429262 | 2008-01-04 | SA_REP | 6200,00 | 0.10 | 149 | 80 |
| 180 | Уинстон | Тейлор | WTAYLOR | 650,50,9876 | 2006-01-24 | SH_CLERK | 3200,00 | 0,00 | 120 | 50 |
| 181 | Жан | Fleaur | JFLEAUR | 650,50,9877 | 2006-02-23 | SH_CLERK | 3100,00 | 0,00 | 120 | 50 |
| 182 | Марта | Салливан | МСУЛЛИВА | 650,50,9878 | 2007-06-21 | SH_CLERK | 2500,00 | 0,00 | 120 | 50 |
| 183 | Жирар | Geoni | GGEONI | 650,50,9879 | 2008-02-03 | SH_CLERK | 2800,00 | 0,00 | 120 | 50 |
| 184 | Нандита | Сарчанд | NSARCHAN | 650.509.1876 | 2004-01-27 | SH_CLERK | 4200,00 | 0,00 | 121 | 50 |
| 185 | Алексис | Бык | ABULL | 650.509.2876 | 2005-02-20 | SH_CLERK | 4100,00 | 0,00 | 121 | 50 |
| 186 | Юлия | Деллингер | JDELLING | 650.509.3876 | 2006-06-24 | SH_CLERK | 3400,00 | 0,00 | 121 | 50 |
| 187 | Энтони | Кабрио | АКАБРИО | 650.509.4876 | 2007-02-07 | SH_CLERK | 3000,00 | 0,00 | 121 | 50 |
| 188 | Келли | Чунг | КЧУНГ | 650.505.1876 | 2005-06-14 | SH_CLERK | 3800,00 | 0,00 | 122 | 50 |
| 189 | Дженнифер | Дилли | JDILLY | 650.505.2876 | 2005-08-13 | SH_CLERK | 3600,00 | 0,00 | 122 | 50 |
| 190 | Тимоти | Ворота | ТГАТЕС | 650.505.3876 | 2006-07-11 | SH_CLERK | 2900,00 | 0,00 | 122 | 50 |
| 191 | Рэндалл | Перкинс | RPERKINS | 650.505.4876 | 2007-12-19 | SH_CLERK | 2500,00 | 0,00 | 122 | 50 |
| 192 | Сара | Колокол | SBELL | 650,501,1876 | 2004-02-04 | SH_CLERK | 4000,00 | 0,00 | 123 | 50 |
| 193 | Бритни | Эверетт | Беверетт | 650,501.2876 | 2005-03-03 | SH_CLERK | 3900,00 | 0,00 | 123 | 50 |
| 194 | Самуил | Маккейн | SMCCAIN | 650,501,3876 | 2006-07-01 | SH_CLERK | 3200,00 | 0,00 | 123 | 50 |
| 195 | Вэнс | Джонс | Вьонес | 650,501,4876 | 2007-03-17 | SH_CLERK | 2800,00 | 0,00 | 123 | 50 |
| 196 | Алана | Уолш | AWALSH | 650,50,9811 | 2006-04-24 | SH_CLERK | 3100,00 | 0,00 | 124 | 50 |
| 197 | Кевин | Фини | KFEENEY | 650,50,9822 | 2006-05-23 | SH_CLERK | 3000,00 | 0,00 | 124 | 50 |
| 198 | Дональд | Оконнелл | ДОКОННЕЛЬ | 650,50,9833 | 2007-06-21 | SH_CLERK | 2600,00 | 0,00 | 124 | 50 |
| 199 | Дуглас | Грант | ДГРАНТ | 650,50,9844 | 2008-01-13 | SH_CLERK | 2600,00 | 0,00 | 124 | 50 |
| 200 | Дженнифер | Кит | JWHALEN | 515.123.4444 | 2003-09-17 | AD_ASST | 4400,00 | 0,00 | 101 | 10 |
| 201 | Майкл | Хартштейн | MHARTSTE | 515.123.5555 | 2004-02-17 | MK_MAN | 13000,00 | 0,00 | 100 | 20 |
| 202 | Пэт | Фэй | ПФАЙ | 603.123.6666 | 2005-08-17 | MK_REP | 6000,00 | 0,00 | 201 | 20 |
| 203 | Сьюзен | Маврис | СМАВРИС | 515.123.7777 | 2002-06-07 | HR_REP | 6500,00 | 0,00 | 101 | 40 |
| 204 | Германн | Баер | HBAER | 515.123.8888 | 2002-06-07 | PR_REP | 10000,00 | 0,00 | 101 | 70 |
| 205 | Шелли | Хиггинс | Сиггинс | 515.123.8080 | 2002-06-07 | AC_MGR | 12008,00 | 0,00 | 101 | 110 |
| 206 | Уильям | Гитц | WGIETZ | 515.123.8181 | 2002-06-07 | AC_ACCOUNT | 8300,00 | 0,00 | 205 | 110 |
+ ------------- + ------------- + ------------- + ------- --- + -------------------- + ------------ + ------------ + ---------- + ---------------- + ------------ + -------- ------- +
